Website,Link,Broadband Provider,Link Load Time (Average of 5 tries),Link is dead or timed out (Y/N)
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/Netnrega/New_mgnrega.apk,ACT-Fibernet,31.0,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/Netnrega/latest_Nsoft_PPT_(MMS).pdf,ACT-Fibernet,33.2,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/Netnrega/app-release.apk,ACT-Fibernet,30.0,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/circular_new.aspx,ACT-Fibernet,956.0,N
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/Circular_Archive/archive/MGNREGA_PerformanceReport27June2016.pdf,ACT-Fibernet,25.2,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/Circular_Archive/archive/RTP2016_English.pdf,ACT-Fibernet,27.6,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/Circular_Archive/archive/RTP2016_Hindi.pdf,ACT-Fibernet,27.2,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/Circular_Archive/archive/Report_on_SAMARTHYA_technical_training.pdf,ACT-Fibernet,29.2,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/national_workshop_new.aspx,ACT-Fibernet,717.8,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/Circular_Archive/archive/MGNREGA_Sameeksha2_English.pdf,ACT-Fibernet,25.4,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/Circular_Archive/archive/MGNREGA_Sameeksha2_Hindi.pdf,ACT-Fibernet,26.4,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/Circular_Archive/archive/Report_Capacity_Building_Report.pdf,ACT-Fibernet,25.8,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/Circular_Archive/archive/Photobook_Documentation_Sustainable_Assets_Created.pdf,ACT-Fibernet,27.0,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/Press_Release.aspx,ACT-Fibernet,102.6,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/netnrega/statepage.aspx?check=pgr&lvl=citizen&Digest=Ah5boauEAQAnYfahMVB4jw,ACT-Fibernet,225.4,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/netnrega/citizen_html/compdetail.aspx,ACT-Fibernet,113.6,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/complaints.htm,ACT-Fibernet,31.4,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/netnrega/citizen_html/citipoattend_rep.aspx,ACT-Fibernet,205.2,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/netnrega/citizen_html/complaint_entry_rep.aspx,ACT-Fibernet,24.0,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/pgr_more.htm,ACT-Fibernet,33.0,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/Circular_Archive/archive/nrega_doc_FAQs.pdf,ACT-Fibernet,28.6,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/Netnrega/dgs.rar,ACT-Fibernet,26.8,Y
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/netnrega/all_lvl_details_dashboard_new.aspx?Fin_Year=2021-2022&Digest=B5DSyTB/eSUSkZd2BpGzbA,ACT-Fibernet,514.0,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/netnrega/MISreport4.aspx,ACT-Fibernet,342.4,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/netnrega/individual_asset_report.aspx?lflag=eng&fin_year=2017-2018&source=national&labels=labels&Digest=cT/J7ChEq5LOfEr0AmsuAQ,ACT-Fibernet,179.6,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/netnrega/nrm_works_report.aspx?lflag=eng&fin_year=2017-2018&source=national&labels=labels&Digest=cT/J7ChEq5LOfEr0AmsuAQ,ACT-Fibernet,181.2,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/netnrega/water_related_report.aspx?lflag=eng&fin_year=2017-2018&source=national&labels=labels&Digest=cT/J7ChEq5LOfEr0AmsuAQ,ACT-Fibernet,184.0,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/netnrega/nrm_related_report.aspx?lflag=eng&fin_year=2017-2018&source=national&labels=labels&Digest=cT/J7ChEq5LOfEr0AmsuAQ,ACT-Fibernet,178.4,N
https://nrega.nic.in/netnrega/home.aspx,https://youtu.be/lrVFDRGvt_A,ACT-Fibernet,1812.4,N
https://nrega.nic.in/netnrega/home.aspx,https://youtu.be/j4-GAO7ZYAg,ACT-Fibernet,777.8,N
https://nrega.nic.in/netnrega/home.aspx,https://youtu.be/8KiRI4fd-Hw,ACT-Fibernet,1166.6,N
